QID,AccAnswer,QPostTime,ReproducibilityStatus,Actions,,
543534,YES,2009-02-12 21:53,Without Modification,,,
2278982,YES,2010-02-17 7:29,Without Modification,,,
2528198,NO,2010-03-27 5:04,Minor Modification,Import a package,,
3180132,YES,2010-07-05 14:10,Without Modification,,,
3390484,YES,2010-08-02 18:07,Without Modification,,,
3413702,YES,2010-08-05 10:11,Without Modification,,,
5053504,YES,2011-02-19 21:01,Without Modification,,,
5255011,YES,2011-03-10 3:10,Minor Modification,,,
6774724,YES,2011-07-21 10:38,Without Modification,,,
8362660,YES,2011-12-02 21:05,Without Modification,,,
8390585,YES,2011-12-05 19:16,Without Modification,,,
8899198,YES,2012-01-17 17:44,Major Modification,Need to create the file structure and guess where to try the import statement,,
10022208,YES,2012-04-05 3:14,Without Modification,,,
10066037,YES,2012-04-08 20:02,Without Modification,,,
10090769,NO,2012-04-10 14:35,Without Modification,,,
10171357,NO,2012-04-16 9:08,Minor Modification,Need to install and import a package,,
10306163,YES,2012-04-24 21:20,Without Modification,,,
10418398,YES,2012-05-02 17:02,Without Modification,,,
11658998,YES,2012-07-25 21:35,Without Modification,,,
11730721,NO,2012-07-30 22:36,Without Modification,,,
12386396,YES,2012-09-12 4:16,Without Modification,,,
12549794,YES,2012-09-23 4:41,Without Modification,,,
13075044,YES,2012-10-25 18:37,Minor Modification,Fixed syntax error,,
13209016,YES,2012-11-03 12:06,Without Modification,,,
14063877,YES,2012-12-28 2:36,Without Modification,,,
14553271,NO,2013-01-27 22:52,Without Modification,,,
14602485,YES,2013-01-30 11:05,Without Modification,,,
14975137,YES,2013-02-20 8:17,Without Modification,,,
15110685,YES,2013-02-27 11:14,Without Modification,,,
16039325,YES,2013-04-16 14:08,Minor Modification,Assign value to a variable,,
16620186,YES,2013-05-18 2:44,Without Modification,,,
16827384,YES,2013-05-30 3:17,Minor Modification,Just need to clean the code to run,,
17436432,YES,2013-07-02 21:52,Without Modification,,,
17934559,YES,2013-07-29 21:30,Without Modification,,,
18057868,YES,2013-08-05 12:12,Without Modification,,"Did not mention the Python version, it's a python 2 specific problem",
18191776,NO,2013-08-12 16:11,Minor Modification,Install a library,,
18231335,NO,2013-08-14 12:07,Without Modification,,,
18276283,YES,2013-08-16 14:56,Without Modification,,,
18348838,YES,2013-08-21 4:25,Without Modification,,,
18645111,YES,2013-09-05 20:14,Minor Modification,Need to create the scenario,,
18934039,YES,2013-09-21 14:55,Without Modification,,,
18994334,YES,2013-09-25 0:34,Without Modification,,,
19100429,NO,2013-09-30 17:40,Without Modification,,,
19262734,YES,2013-10-09 3:48,Minor Modification,Need to create folder structure like this,,
19733662,YES,2013-11-01 19:06,Without Modification,,,
19948779,YES,2013-11-13 8:24,Without Modification,,,
20208570,YES,2013-11-26 4:33,Without Modification,,,
20544551,YES,2013-12-12 13:13,Without Modification,,,
21403019,NO,2014-01-28 10:28,Without Modification,,,
22080628,YES,2014-02-27 21:18,Minor Modification,,,
22210516,YES,2014-03-05 22:14,Without Modification,,,
22253007,YES,2014-03-07 14:37,Minor Modification,call the function,,
22332978,NO,2014-03-11 18:04,Without Modification,,,
22498013,YES,2014-03-19 6:30,Without Modification,,,
22747444,YES,2014-03-30 17:43,Without Modification,,,
22804408,YES,2014-04-02 7:29,Without Modification,,,
22829023,YES,2014-04-03 5:59,Without Modification,,,
22890286,YES,2014-04-06 5:19,Without Modification,,,
23048961,YES,2014-04-13 22:01,Without Modification,,,
23080412,YES,2014-04-15 9:58,Without Modification,,,
23401547,NO,2014-05-01 3:21,Without Modification,,Call function,fix logical error
23603774,NO,2014-05-12 7:58,Major Modification,Take input,,
24483182,NO,2014-06-30 5:00,Without Modification,,,
24662535,YES,2014-07-09 19:46,Minor Modification,Fix indentation,,
25041319,YES,2014-07-30 15:50,Without Modification,,,
25538950,NO,2014-08-28 0:25,Minor Modification,call a function,,
25749817,NO,2014-09-09 16:37,Without Modification,,,
25854640,YES,2014-09-15 18:37,Minor Modification,Fix minor indentation,,
26041592,YES,2014-09-25 14:49,Minor Modification,Fixed indentation,,
26155033,NO,2014-10-02 5:42,Without Modification,,,
26702884,NO,2014-11-02 18:36,Without Modification,,,
26824659,YES,2014-11-09 3:27,Without Modification,,,
27088454,NO,2014-11-23 11:30,Without Modification,,Need to initialize 2 variables,
27128400,YES,2014-11-25 13:45,Minor Modification,Import a library,,
27658581,NO,2014-12-26 14:55,Without Modification,,,
28042396,NO,2015-01-20 9:58,Without Modification,,,
28503401,NO,2015-02-13 15:50,Without Modification,,,
28747850,YES,2015-02-26 16:38,Without Modification,,,
28790241,YES,2015-03-01 4:54,Without Modification,,,
29271095,YES,2015-03-26 4:25,Without Modification,,,
29333077,YES,2015-03-29 18:28,Without Modification,,,
29793345,YES,2015-04-22 9:33,Without Modification,,,
29928295,NO,2015-04-28 19:32,Without Modification,,,
29980974,YES,2015-05-01 2:49,Without Modification,,,
30055408,NO,2015-05-05 14:11,Without Modification,,,
30122549,NO,2015-05-08 11:18,Without Modification,,,
30559507,YES,2015-05-31 16:04,Without Modification,,,
30654159,YES,2015-06-04 21:06,Without Modification,,,
30838597,NO,2015-06-15 6:29,Without Modification,,,
31628920,NO,2015-07-25 16:57,Without Modification,,,
31716622,YES,2015-07-30 6:31,Without Modification,,,
31757709,YES,2015-08-01 2:52,Without Modification,,,
32200369,NO,2015-08-25 9:30,Without Modification,,"Did not mention the Python version, it's a python 2 specific problem",
32488533,NO,2015-09-09 20:24,Minor Modification,Indentation fix,,
32513853,NO,2015-09-11 0:56,Without Modification,,,
32533341,YES,2015-09-11 23:07,Without Modification,,,
32599892,NO,2015-09-16 4:36,Without Modification,,,
32850628,NO,2015-09-29 17:51,Minor Modification,import library,,
33213051,YES,2015-10-19 11:19,Without Modification,,,
33225916,NO,2015-10-20 0:04,Minor Modification,fix syntax error,,
33271917,YES,2015-10-22 1:19,Without Modification,,,
33288532,YES,2015-10-22 18:51,Without Modification,,,
33312950,YES,2015-10-23 23:40,Without Modification,,,
33595799,NO,2015-11-08 15:50,Without Modification,,,
33763401,NO,2015-11-17 17:32,Without Modification,,,
33986275,NO,2015-11-29 18:20,Without Modification,,,
34097389,NO,2015-12-04 21:03,Without Modification,,,
34240709,NO,2015-12-12 14:03,Without Modification,,,
34247619,NO,2015-12-13 3:16,Without Modification,,,
34257462,YES,2015-12-13 23:02,Without Modification,,,
34291630,YES,2015-12-15 14:22,Without Modification,,,
34401791,NO,2015-12-21 18:06,Without Modification,,,
34913259,YES,2016-01-21 0:24,Without Modification,,,
34967021,YES,2016-01-23 18:17,Without Modification,,,
35336129,NO,2016-02-11 10:04,Minor Modification,Call the function,,
35531959,YES,2016-02-21 3:32,Without Modification,,,
35614041,NO,2016-02-24 21:59,Minor Modification,,,
35664829,NO,2016-02-27 2:02,Minor Modification,Call the function,,
35672300,NO,2016-02-27 16:31,Without Modification,,,
35765362,NO,2016-03-03 7:08,Minor Modification,,,
35821482,YES,2016-03-06 0:07,Without Modification,,,
36205172,YES,2016-03-24 16:26,Minor Modification,Reformat code,,
36578017,NO,2016-04-12 15:39,Without Modification,,,
37426377,YES,2016-05-25 1:23,Without Modification,,,
37726353,YES,2016-06-09 12:43,Without Modification,,,
38065160,NO,2016-06-28 0:17,Without Modification,,,
38539445,NO,2016-07-23 7:44,Without Modification,,,
38866980,YES,2016-08-10 7:34,Without Modification,,,
38887421,YES,2016-08-11 4:45,Without Modification,,,
39060991,YES,2016-08-21 5:07,Without Modification,,,
39437142,NO,2016-09-11 14:34,Without Modification,,,
39698619,YES,2016-09-26 9:01,Without Modification,,,
39909360,NO,2016-10-07 4:25,Without Modification,,,
40370989,NO,2016-11-02 1:08,Minor Modification,,,
40432465,YES,2016-11-04 22:16,Without Modification,,,
40829854,YES,2016-11-27 14:10,Without Modification,,,
40983295,NO,2016-12-05 21:03,Without Modification,,,
41173442,NO,2016-12-15 21:14,Without Modification,,,
41203823,YES,2016-12-17 22:50,Without Modification,,,
41271763,NO,2016-12-21 20:56,Without Modification,,,
41577112,YES,2017-01-10 19:46,Without Modification,,,
41795605,YES,2017-01-22 20:09,Without Modification,,,
41860211,NO,2017-01-25 19:38,Minor Modification,Sytax error,,
42042364,YES,2017-02-04 15:55,Without Modification,,,
42191565,NO,2017-02-12 18:33,Without Modification,,,
42543499,YES,2017-03-01 22:41,Without Modification,,,
42829401,NO,2017-03-16 9:00,Without Modification,,,
42874224,YES,2017-03-18 12:08,Without Modification,,,
43160532,NO,2017-04-01 18:30,Without Modification,,,
43198723,YES,2017-04-04 5:10,Without Modification,,,
43462684,NO,2017-04-18 2:38,Without Modification,,,
43738797,NO,2017-05-02 13:11,Without Modification,,,
43950770,NO,2017-05-13 8:08,Without Modification,,,
44022382,YES,2017-05-17 10:32,Without Modification,,,
44121203,YES,2017-05-22 20:01,Without Modification,,,
44375333,YES,2017-06-05 18:24,Minor Modification,Need to call the function,Instantiate and call method,
44390345,YES,2017-06-06 12:43,Minor Modification,Modified code to run,,
44479695,YES,2017-06-11 1:53,Minor Modification,Fixed indentation error,,
44495402,YES,2017-06-12 9:02,Without Modification,,,
44571512,NO,2017-06-15 15:30,Without Modification,,Call the function,
44771644,YES,2017-06-27 2:59,Minor Modification,Fix indentation,,
44893486,YES,2017-07-03 20:29,Without Modification,,,
45102597,NO,2017-07-14 12:07,Without Modification,,,
45665923,YES,2017-08-14 0:01,Without Modification,,,
45714814,YES,2017-08-16 13:23,Without Modification,,,
45738712,NO,2017-08-17 15:04,Without Modification,,,
45951672,NO,2017-08-30 3:59,Minor Modification,Fixed indentation,,
46082126,YES,2017-09-06 18:33,Without Modification,,,
46146697,NO,2017-09-11 0:14,Without Modification,,,
46291505,YES,2017-09-19 3:52,Without Modification,,,
46392926,YES,2017-09-24 17:34,Without Modification,,,
46504961,NO,2017-09-30 16:54,Minor Modification,fix indentation,,
46662087,YES,2017-10-10 8:33,Without Modification,,Modify file path,
46689317,NO,2017-10-11 13:20,Minor Modification,Install library,,
46755690,NO,2017-10-15 13:44,Without Modification,,,
46792586,YES,2017-10-17 14:27,Minor Modification,Import package,,
46836356,NO,2017-10-19 18:13,Without Modification,,,
46940424,YES,2017-10-25 19:15,Minor Modification,,,
46966667,NO,2017-10-27 2:37,Without Modification,,,
47230268,YES,2017-11-10 20:00,Without Modification,,,
47333837,YES,2017-11-16 15:48,Without Modification,,,
47624437,NO,2017-12-03 23:20,Without Modification,,,
47676852,NO,2017-12-06 14:37,Without Modification,,,
47985659,YES,2017-12-27 2:32,Without Modification,,,
48056737,NO,2018-01-02 6:54,Without Modification,,,
48240938,NO,2018-01-13 14:45,Without Modification,,,
48289293,NO,2018-01-16 20:27,Without Modification,,,
48390039,YES,2018-01-22 20:51,Minor Modification,Import a package,,
48571767,YES,2018-02-01 21:10,Without Modification,,,
48644035,YES,2018-02-06 13:19,Without Modification,,,
48676719,NO,2018-02-08 2:49,Minor Modification,Fix indentation,,
48996240,YES,2018-02-26 20:04,Without Modification,,,
49092951,YES,2018-03-04 7:15,Without Modification,,,
49206448,YES,2018-03-10 7:21,Without Modification,,,
49276278,YES,2018-03-14 11:13,Without Modification,,,
49389841,NO,2018-03-20 16:45,Without Modification,,,
49401048,YES,2018-03-21 8:06,Without Modification,,,
49408627,YES,2018-03-21 14:10,Minor Modification,Minor indentation fix,,
49664085,YES,2018-04-05 4:16,Without Modification,,,
50246361,NO,2018-05-09 5:52,Minor Modification,Call the main function,,
50292004,NO,2018-05-11 12:05,Minor Modification,Minor indentation fix,,
50382008,YES,2018-05-17 1:18,Without Modification,,,
50504315,YES,2018-05-24 8:17,Without Modification,,,
50607465,NO,2018-05-30 14:39,Without Modification,,,
50835812,YES,2018-06-13 11:13,Minor Modification,Created the file structure,,
51272203,NO,2018-07-10 18:49,Without Modification,,,
51357570,YES,2018-07-16 8:28,Without Modification,,,
51441102,YES,2018-07-20 11:03,Without Modification,,,
51509435,YES,2018-07-25 0:52,Without Modification,,,
51558164,YES,2018-07-27 12:41,Without Modification,,,
51577270,YES,2018-07-29 4:40,Without Modification,,,
51796037,YES,2018-08-11 2:47,Without Modification,,,
51940423,YES,2018-08-21 1:29,Without Modification,,,
51958209,YES,2018-08-22 0:01,Without Modification,,,
52302021,NO,2018-09-12 19:21,Without Modification,,,
52384142,YES,2018-09-18 10:08,Without Modification,,,
52389614,NO,2018-09-18 15:06,Without Modification,,,
52456483,NO,2018-09-22 11:58,Without Modification,,,
52462402,YES,2018-09-23 2:14,Major Modification,Major indentation issue,,
52479078,YES,2018-09-24 12:07,Minor Modification,,,
52596896,NO,2018-10-01 18:31,Without Modification,,,
52639027,NO,2018-10-04 4:29,Minor Modification,,,
52682903,YES,2018-10-06 20:05,Major Modification,,,
52789193,NO,2018-10-13 3:15,Without Modification,,call the function,
52969518,NO,2018-10-24 12:52,Minor Modification,Import 2 packages,,
52982661,YES,2018-10-25 6:26,Without Modification,,,
53088843,NO,2018-10-31 17:15,Without Modification,,,
53217128,NO,2018-11-08 22:30,Major Modification,Need to fix some complex syntax error,,
53369885,YES,2018-11-19 7:14,Without Modification,,,
53402898,NO,2018-11-20 23:01,Minor Modification,Create input data,,
54042903,NO,2019-01-04 16:39,Minor Modification,Need to create the scenario,,
54119533,YES,2019-01-09 22:49,Without Modification,,,
54123179,NO,2019-01-10 6:43,Without Modification,,,
54372495,YES,2019-01-25 20:44,Without Modification,,,
54373281,YES,2019-01-25 21:52,Without Modification,,,
54485024,NO,2019-02-01 18:15,Minor Modification,Fixed indendataion error,,
54985544,YES,2019-03-04 14:42,Without Modification,,,
55137432,YES,2019-03-13 8:35,Without Modification,,,
55147295,YES,2019-03-13 16:52,Minor Modification,,,
55615018,YES,2019-04-10 14:25,Without Modification,,,
55648278,NO,2019-04-12 9:14,Without Modification,,,
55735794,YES,2019-04-17 20:52,Without Modification,,,
55779352,NO,2019-04-21 2:18,Minor Modification,Need to call the function with a value,,
55786614,NO,2019-04-21 20:45,Without Modification,,,
55813059,YES,2019-04-23 14:03,Minor Modification,Need to create the scenario to reproduce the issue,,
55962624,NO,2019-05-03 2:39,Minor Modification,Need to instantiate the class with appropriate parameters,,
56093426,NO,2019-05-11 19:03,Without Modification,,,
56102710,YES,2019-05-12 19:26,Without Modification,,,
56113666,NO,2019-05-13 13:42,Without Modification,,,
56176793,YES,2019-05-16 21:24,Without Modification,,,
56279191,NO,2019-05-23 16:09,Without Modification,,,
56284888,YES,2019-05-24 1:49,Without Modification,,,
56325762,YES,2019-05-27 12:07,Minor Modification,,,
56369483,YES,2019-05-29 22:48,Without Modification,,,
56633794,YES,2019-06-17 14:51,Minor Modification,,,
56720750,NO,2019-06-23 3:20,Without Modification,,,
56745087,NO,2019-06-24 23:29,Without Modification,,,
56791949,NO,2019-06-27 13:18,Without Modification,,,
57024144,YES,2019-07-14 2:31,Without Modification,,,
57139379,NO,2019-07-22 4:54,Without Modification,,,
57149414,NO,2019-07-22 15:38,Without Modification,,,
57198271,YES,2019-07-25 9:10,Without Modification,,,
57263742,YES,2019-07-30 2:59,Without Modification,,,
57346716,NO,2019-08-04 12:52,Without Modification,,,
57396100,NO,2019-08-07 13:55,Without Modification,,,
57504434,NO,2019-08-15 3:11,Minor Modification,Fix syntax issue,,
57504434,NO,2019-08-15 3:11,Without Modification,,,
57533644,NO,2019-08-17 5:49,Without Modification,,,
57617252,NO,2019-08-22 21:26,Without Modification,,,
57704303,NO,2019-08-29 6:34,Without Modification,,,
57769776,YES,2019-09-03 10:25,Without Modification,,,
57836258,NO,2019-09-07 18:03,Without Modification,,,
58054499,YES,2019-09-23 0:49,Without Modification,,,
58160670,NO,2019-09-30 1:59,Minor Modification,,,
58406120,NO,2019-10-16 5:11,Without Modification,,,
58551545,YES,2019-10-25 2:49,Without Modification,,,
58582156,NO,2019-10-27 18:28,Without Modification,,,
58719864,YES,2019-11-05 21:39,Without Modification,,,
58738166,YES,2019-11-06 20:39,Without Modification,,,
58767830,YES,2019-11-08 13:49,Minor Modification,,,
58907341,NO,2019-11-18 2:42,Without Modification,,,
59005237,YES,2019-11-23 6:43,Without Modification,,call main function,
59286552,YES,2019-12-11 13:08,Minor Modification,Import a package,,
59300213,NO,2019-12-12 8:13,Without Modification,,,
