QID,AccAnswer,NoOfAnswer,Score,QPostTime,LOC,ReproducibilityStatus,
543534,YES,4,9,2009-02-12 21:53,8,Without Modification,
2278982,YES,2,0,2010-02-17 7:29,22,Without Modification,
2528198,NO,3,1,2010-03-27 5:04,2,Minor Modification,
3180132,YES,3,1,2010-07-05 14:10,16,Without Modification,
3390484,YES,2,11,2010-08-02 18:07,10,Without Modification,
3413702,YES,3,2,2010-08-05 10:11,13,Without Modification,
3731278,YES,4,8,9-16-2010 22:18,7,Irreproducible,
4175585,YES,3,4,2010-11-14 0:57,25,Inaccurate Claim,
5053504,YES,2,1,2011-02-19 21:01,16,Without Modification,
5094793,NO,4,0,2011-02-23 17:49,32,Inaccurate Claim,
5128836,NO,4,0,2-26-2011 18:20,4,Irreproducible,
5205982,YES,2,0,3-5-2011 18:45,35,Irreproducible,
5255011,YES,1,7,2011-03-10 3:10,14,Minor Modification,
6430839,NO,3,0,6-21-2011 19:22,11,Irreproducible,
6459078,YES,3,3,2011-06-23 18:44,11,Inaccurate Claim,
6502909,NO,2,0,2011-06-28 7:14,30,Inaccurate Claim,
6774724,YES,6,21,2011-07-21 10:38,9,Without Modification,
8362660,YES,3,-1,2011-12-02 21:05,25,Without Modification,
8390585,YES,1,0,2011-12-05 19:16,5,Without Modification,
8390585,YES,1,0,2011-12-05 19:16,5,Ill-Defined Issue,
8899198,YES,3,50,2012-01-17 17:44,16,Major Modification,
8903592,NO,2,0,1-18-2012 0:24,8,Irreproducible,
10022208,YES,1,0,2012-04-05 3:14,2,Without Modification,
10066037,YES,2,0,2012-04-08 20:02,11,Without Modification,
10090769,NO,3,0,2012-04-10 14:35,7,Without Modification,
10171357,NO,3,2,2012-04-16 9:08,7,Minor Modification,
10306163,YES,2,2,2012-04-24 21:20,7,Without Modification,
10418398,YES,3,2,2012-05-02 17:02,7,Without Modification,
11025143,NO,2,2,2012-06-14 0:10,8,Ill-Defined Issue,
11658998,YES,2,0,2012-07-25 21:35,22,Without Modification,
11730721,NO,1,1,2012-07-30 22:36,10,Without Modification,
12186956,YES,1,1,8-29-2012 21:43,31,Irreproducible,
12386396,YES,1,1,2012-09-12 4:16,42,Without Modification,
12546361,NO,0,1,2012-09-22 18:03,25,Ill-Defined Issue,
12549794,YES,1,1,2012-09-23 4:41,14,Without Modification,
13075044,YES,1,17,2012-10-25 18:37,6,Minor Modification,
13209016,YES,4,3,2012-11-03 12:06,8,Without Modification,
14063877,YES,4,2,2012-12-28 2:36,17,Without Modification,
14553271,NO,1,0,2013-01-27 22:52,7,Without Modification,
14563985,YES,1,1,1-28-2013 14:16,12,Irreproducible,
14602485,YES,5,2,2013-01-30 11:05,5,Without Modification,
14975137,YES,3,1,2013-02-20 8:17,8,Without Modification,
15110685,YES,1,0,2013-02-27 11:14,8,Without Modification,
15801680,NO,1,0,4-4-2013 2:46,110,Irreproducible,
16039325,YES,2,0,2013-04-16 14:08,3,Minor Modification,
16620186,YES,2,4,2013-05-18 2:44,10,Without Modification,
16659524,NO,0,0,5-20-2013 22:43,58,Irreproducible,
16827384,YES,1,0,2013-05-30 3:17,6,Minor Modification,
17436432,YES,1,0,2013-07-02 21:52,20,Without Modification,
17611391,YES,2,1,2013-07-12 9:12,9,Ill-Defined Issue,
17755220,NO,3,7,2013-07-19 20:46,15,Ill-Defined Issue,
17934559,YES,4,0,2013-07-29 21:30,18,Without Modification,
18057868,YES,1,-3,2013-08-05 12:12,29,Without Modification,
18191776,NO,2,0,2013-08-12 16:11,12,Minor Modification,
18231335,NO,4,0,2013-08-14 12:07,6,Without Modification,
18276283,YES,1,5,2013-08-16 14:56,3,Without Modification,
18300367,YES,1,1,2013-08-18 14:56,4,Ill-Defined Issue,
18348838,YES,3,0,2013-08-21 4:25,18,Without Modification,
18645111,YES,1,2,2013-09-05 20:14,7,Minor Modification,
18874092,NO,1,0,9-18-2013 13:52,11,Irreproducible,
18934039,YES,1,-1,2013-09-21 14:55,7,Without Modification,
18994334,YES,3,28,2013-09-25 0:34,14,Without Modification,
19100429,NO,4,2,2013-09-30 17:40,7,Without Modification,
19262734,YES,2,-3,2013-10-09 3:48,5,Minor Modification,
19733662,YES,3,1,2013-11-01 19:06,5,Without Modification,
19805525,NO,2,2,11-6-2013 6:29,9,Irreproducible,
19948779,YES,4,3,2013-11-13 8:24,4,Without Modification,
20208570,YES,1,4,2013-11-26 4:33,7,Without Modification,
20450659,YES,1,1,12-8-2013 6:43,3,Irreproducible,
20457439,NO,4,-1,12-8-2013 18:48,5,Irreproducible,
20544551,YES,2,0,2013-12-12 13:13,17,Without Modification,
21153439,NO,1,0,1-16-2014 4:39,5,Irreproducible,
21277462,NO,3,0,1-22-2014 8:11,15,Irreproducible,
21403019,NO,2,0,2014-01-28 10:28,8,Without Modification,
21647801,NO,0,0,2-8-2014 15:25,28,Irreproducible,
22080628,YES,4,2,2014-02-27 21:18,16,Minor Modification,
22210516,YES,3,1,2014-03-05 22:14,9,Without Modification,
22253007,YES,1,1,2014-03-07 14:37,13,Minor Modification,
22332978,NO,2,-1,2014-03-11 18:04,4,Without Modification,
22428178,YES,1,0,3-15-2014 18:45,26,Irreproducible,
22436242,YES,1,0,2014-03-16 11:29,3,Ill-Defined Issue,
22498013,YES,2,2,2014-03-19 6:30,8,Without Modification,
22550302,YES,4,1,3-21-2014 4:40,17,Irreproducible,
22747444,YES,3,0,2014-03-30 17:43,11,Without Modification,
22804408,YES,4,2,2014-04-02 7:29,7,Without Modification,
22829023,YES,2,0,2014-04-03 5:59,25,Without Modification,
22890286,YES,1,0,2014-04-06 5:19,17,Without Modification,
23048961,YES,1,6,2014-04-13 22:01,5,Without Modification,
23080412,YES,3,1,2014-04-15 9:58,12,Without Modification,
23401547,NO,2,-5,2014-05-01 3:21,1,Without Modification,
23603774,NO,2,0,2014-05-12 7:58,25,Major Modification,
24374850,YES,3,0,6-23-2014 20:33,71,Irreproducible,
24483182,NO,14,24,2014-06-30 5:00,5,Without Modification,
24662535,YES,1,-1,2014-07-09 19:46,26,Minor Modification,
25041319,YES,3,-2,2014-07-30 15:50,26,Without Modification,
25247136,YES,1,0,8-11-2014 15:40,1,Irreproducible,
25250132,NO,1,0,2014-08-11 18:36,16,Inaccurate Claim,
25261028,YES,2,5,2014-08-12 9:40,7,Inaccurate Claim,
25538950,NO,2,0,2014-08-28 0:25,9,Minor Modification,
25749817,NO,1,-2,2014-09-09 16:37,11,Without Modification,
25854640,YES,1,0,2014-09-15 18:37,27,Minor Modification,
26041592,YES,1,0,2014-09-25 14:49,5,Minor Modification,
26155033,NO,2,-1,2014-10-02 5:42,29,Without Modification,
26702884,NO,5,-1,2014-11-02 18:36,24,Without Modification,
26824659,YES,1,-1,2014-11-09 3:27,14,Without Modification,
27088454,NO,1,-3,2014-11-23 11:30,47,Without Modification,
27128400,YES,4,0,2014-11-25 13:45,5,Minor Modification,
27356620,YES,1,0,12-8-2014 11:06,58,Irreproducible,
27544393,YES,1,2,12-18-2014 10:27,29,Irreproducible,
27658581,NO,3,0,2014-12-26 14:55,4,Without Modification,
27821915,YES,3,2,2015-01-07 14:42,10,Inaccurate Claim,
28042396,NO,1,-2,2015-01-20 9:58,9,Without Modification,
28503401,NO,2,0,2015-02-13 15:50,16,Without Modification,
28747850,YES,1,2,2015-02-26 16:38,11,Without Modification,
28790241,YES,3,0,2015-03-01 4:54,7,Without Modification,
29034236,NO,2,0,2015-03-13 14:02,6,Ill-Defined Issue,
29271095,YES,3,0,2015-03-26 4:25,9,Without Modification,
29333077,YES,4,2,2015-03-29 18:28,21,Without Modification,
29726764,NO,2,-1,2015-04-19 6:54,13,Ill-Defined Issue,
29793345,YES,1,3,2015-04-22 9:33,9,Without Modification,
29928295,NO,1,1,2015-04-28 19:32,48,Without Modification,
29980974,YES,1,0,2015-05-01 2:49,18,Without Modification,
30055408,NO,4,-2,2015-05-05 14:11,36,Without Modification,
30122549,NO,3,3,2015-05-08 11:18,8,Without Modification,
30539564,YES,2,2,5-29-2015 21:44,41,Irreproducible,
30559507,YES,2,1,2015-05-31 16:04,18,Without Modification,
30654159,YES,2,-7,2015-06-04 21:06,9,Without Modification,
30717583,NO,1,1,6-8-2015 19:34,8,Irreproducible,
30838597,NO,1,0,2015-06-15 6:29,8,Without Modification,
31159708,NO,2,1,2015-07-01 11:14,19,Inaccurate Claim,
31312955,NO,1,0,2015-07-09 9:07,9,Inaccurate Claim,
31628920,NO,1,0,2015-07-25 16:57,42,Without Modification,
31716622,YES,2,2,2015-07-30 6:31,8,Without Modification,
31757709,YES,2,-1,2015-08-01 2:52,2,Without Modification,
32200369,NO,1,-5,2015-08-25 9:30,51,Without Modification,
32383278,NO,2,-2,2015-09-03 18:48,12,Inaccurate Claim,
32488533,NO,2,2,2015-09-09 20:24,14,Minor Modification,
32513853,NO,1,1,2015-09-11 0:56,2,Without Modification,
32533341,YES,1,0,2015-09-11 23:07,18,Without Modification,
32599892,NO,1,-3,2015-09-16 4:36,18,Without Modification,
32850628,NO,1,-4,2015-09-29 17:51,2,Minor Modification,
33213051,YES,2,3,2015-10-19 11:19,4,Without Modification,
33225916,NO,2,-2,2015-10-20 0:04,12,Minor Modification,
33271917,YES,2,0,2015-10-22 1:19,9,Without Modification,
33288532,YES,3,-4,2015-10-22 18:51,22,Without Modification,
33312950,YES,4,0,2015-10-23 23:40,17,Without Modification,
33595799,NO,3,2,2015-11-08 15:50,9,Without Modification,
33600301,NO,1,0,11-8-2015 23:30,10,Irreproducible,
33763401,NO,4,1,2015-11-17 17:32,4,Without Modification,
33986275,NO,1,0,2015-11-29 18:20,29,Without Modification,
34097389,NO,3,0,2015-12-04 21:03,33,Without Modification,
34240709,NO,1,0,2015-12-12 14:03,12,Without Modification,
34247619,NO,1,-1,2015-12-13 3:16,12,Without Modification,
34257462,YES,3,1,2015-12-13 23:02,52,Without Modification,
34291630,YES,2,1,2015-12-15 14:22,8,Without Modification,
34401791,NO,2,-5,2015-12-21 18:06,6,Without Modification,
34913259,YES,2,0,2016-01-21 0:24,3,Without Modification,
34967021,YES,2,7,2016-01-23 18:17,14,Without Modification,
35336129,NO,2,1,2016-02-11 10:04,7,Minor Modification,
35531959,YES,1,-1,2016-02-21 3:32,15,Without Modification,
35614041,NO,1,-1,2016-02-24 21:59,21,Minor Modification,
35664829,NO,1,1,2016-02-27 2:02,12,Minor Modification,
35672300,NO,4,-1,2016-02-27 16:31,4,Without Modification,
35715580,YES,2,-1,3-1-2016 5:47,37,Irreproducible,
35765362,NO,4,-1,2016-03-03 7:08,29,Minor Modification,
35821482,YES,1,-2,2016-03-06 0:07,8,Without Modification,
35883423,YES,1,0,3-9-2016 5:13,2,Irreproducible,
35978549,YES,1,6,3-14-2016 2:20,15,Irreproducible,
36205172,YES,1,1,2016-03-24 16:26,11,Minor Modification,
36487858,NO,0,0,2016-04-07 21:50,3,Inaccurate Claim,
36578017,NO,1,0,2016-04-12 15:39,1,Without Modification,
36613166,NO,0,1,4-14-2016 3:07,15,Irreproducible,
36962405,NO,0,1,5-1-2016 2:25,3,Irreproducible,
37201500,NO,0,0,5-13-2016 4:51,10,Irreproducible,
37426377,YES,1,1,2016-05-25 1:23,15,Without Modification,
37626050,YES,2,-1,2016-06-04 3:29,3,Ill-Defined Issue,
37726353,YES,2,0,2016-06-09 12:43,10,Without Modification,
38065160,NO,1,0,2016-06-28 0:17,192,Without Modification,
38136544,NO,2,1,2016-07-01 3:22,7,Inaccurate Claim,
38287904,NO,1,2,7-10-2016 1:56,9,Irreproducible,
38539445,NO,1,0,2016-07-23 7:44,3,Without Modification,
38809622,NO,1,-1,8-6-2016 23:35,4,Irreproducible,
38866980,YES,1,0,2016-08-10 7:34,7,Without Modification,
38887421,YES,1,0,2016-08-11 4:45,25,Without Modification,
39060991,YES,1,1,2016-08-21 5:07,16,Without Modification,
39130924,NO,1,0,2016-08-24 18:48,23,Inaccurate Claim,
39156269,NO,1,0,2016-08-25 23:33,2,Ill-Defined Issue,
39350754,NO,3,-3,2016-09-06 13:51,73,Ill-Defined Issue,
39437142,NO,2,-1,2016-09-11 14:34,34,Without Modification,
39606225,NO,1,0,9-21-2016 1:39,3,Irreproducible,
39698619,YES,3,-5,2016-09-26 9:01,5,Without Modification,
39909360,NO,2,-2,2016-10-07 4:25,16,Without Modification,
39938862,NO,1,2,10-9-2016 0:45,28,Irreproducible,
40357851,NO,0,1,2016-11-01 10:06,12,Inaccurate Claim,
40370989,NO,1,-2,2016-11-02 1:08,1,Minor Modification,
40432465,YES,1,-1,2016-11-04 22:16,18,Without Modification,
40456131,NO,4,1,2016-11-07 0:23,34,Ill-Defined Issue,
40829854,YES,1,1,2016-11-27 14:10,8,Without Modification,
40983295,NO,2,0,2016-12-05 21:03,35,Without Modification,
41173442,NO,2,0,2016-12-15 21:14,33,Without Modification,
41175467,NO,1,-2,2016-12-16 0:18,39,Ill-Defined Issue,
41203823,YES,2,3,2016-12-17 22:50,11,Without Modification,
41271763,NO,2,0,2016-12-21 20:56,9,Without Modification,
41425572,YES,2,0,2017-01-02 11:01,1,Inaccurate Claim,
41577112,YES,2,-5,2017-01-10 19:46,13,Without Modification,
41795605,YES,2,-1,2017-01-22 20:09,64,Without Modification,
41860211,NO,2,1,2017-01-25 19:38,38,Minor Modification,
42035895,NO,0,0,2-4-2017 2:39,15,Irreproducible,
42042364,YES,4,-1,2017-02-04 15:55,4,Without Modification,
42097701,YES,1,-1,2-7-2017 18:54,22,Irreproducible,
42191565,NO,2,-1,2017-02-12 18:33,11,Without Modification,
42543499,YES,2,-4,2017-03-01 22:41,16,Without Modification,
42556142,NO,0,1,2017-03-02 12:56,1,Ill-Defined Issue,
42829401,NO,4,-7,2017-03-16 9:00,36,Without Modification,
42874224,YES,3,0,2017-03-18 12:08,19,Without Modification,
43160532,NO,1,-2,2017-04-01 18:30,22,Without Modification,
43176942,NO,1,1,4-3-2017 5:16,15,Irreproducible,
43198723,YES,1,1,2017-04-04 5:10,5,Without Modification,
43462684,NO,3,1,2017-04-18 2:38,2,Without Modification,
43714730,NO,1,-1,5-1-2017 5:32,22,Irreproducible,
43738797,NO,2,0,2017-05-02 13:11,6,Without Modification,
43950770,NO,1,0,2017-05-13 8:08,12,Without Modification,
44022382,YES,6,3,2017-05-17 10:32,19,Without Modification,
44121203,YES,2,-2,2017-05-22 20:01,31,Without Modification,
44368695,YES,2,0,6-5-2017 12:12,2,Irreproducible,
44375333,YES,1,-1,2017-06-05 18:24,35,Minor Modification,
44390345,YES,2,-1,2017-06-06 12:43,6,Minor Modification,
44479695,YES,1,0,2017-06-11 1:53,18,Minor Modification,
44495402,YES,1,0,2017-06-12 9:02,10,Without Modification,
44571512,NO,2,0,2017-06-15 15:30,14,Without Modification,
44771644,YES,2,1,2017-06-27 2:59,9,Minor Modification,
44893486,YES,2,0,2017-07-03 20:29,9,Without Modification,
45102597,NO,1,0,2017-07-14 12:07,10,Without Modification,
45614627,NO,0,1,8-10-2017 13:09,22,Irreproducible,
45665923,YES,3,1,2017-08-14 0:01,49,Without Modification,
45714814,YES,7,5,2017-08-16 13:23,5,Without Modification,
45738712,NO,2,-2,2017-08-17 15:04,119,Without Modification,
45951672,NO,2,0,2017-08-30 3:59,12,Minor Modification,
46082126,YES,1,0,2017-09-06 18:33,11,Without Modification,
46146697,NO,2,0,2017-09-11 0:14,4,Without Modification,
46291505,YES,1,0,2017-09-19 3:52,49,Without Modification,
46328015,NO,2,0,2017-09-20 17:09,21,Ill-Defined Issue,
46392926,YES,1,0,2017-09-24 17:34,27,Without Modification,
46409410,NO,0,0,2017-09-25 15:56,5,Ill-Defined Issue,
46504961,NO,1,0,2017-09-30 16:54,22,Minor Modification,
46530679,NO,2,1,10-2-2017 17:34,35,Irreproducible,
46555539,NO,2,-2,2017-10-04 1:00,16,Ill-Defined Issue,
46662087,YES,2,-3,2017-10-10 8:33,14,Without Modification,
46689317,NO,1,2,2017-10-11 13:20,47,Minor Modification,
46755690,NO,1,0,2017-10-15 13:44,24,Without Modification,
46792586,YES,2,1,2017-10-17 14:27,14,Minor Modification,
46836356,NO,1,2,2017-10-19 18:13,16,Without Modification,
46940424,YES,2,0,2017-10-25 19:15,22,Minor Modification,
46945724,NO,1,0,10-26-2017 4:10,3,Irreproducible,
46966667,NO,1,-4,2017-10-27 2:37,3,Without Modification,
47230268,YES,1,0,2017-11-10 20:00,10,Without Modification,
47333837,YES,1,-4,2017-11-16 15:48,9,Without Modification,
47612878,YES,3,0,12-2-2017 21:40,69,Irreproducible,
47624437,NO,2,-1,2017-12-03 23:20,14,Without Modification,
47676852,NO,2,0,2017-12-06 14:37,37,Without Modification,
47985659,YES,2,0,2017-12-27 2:32,5,Without Modification,
48009399,NO,1,-2,12-28-2017 14:37,32,Irreproducible,
48056737,NO,3,2,2018-01-02 6:54,4,Without Modification,
48203834,NO,1,-1,1-11-2018 9:40,12,Irreproducible,
48240938,NO,2,-1,2018-01-13 14:45,16,Without Modification,
48289293,NO,2,0,2018-01-16 20:27,2,Without Modification,
48367845,NO,0,0,1-21-2018 14:25,1,Irreproducible,
48390039,YES,2,-3,2018-01-22 20:51,6,Minor Modification,
48571767,YES,1,1,2018-02-01 21:10,3,Without Modification,
48623256,NO,1,-3,2-5-2018 13:03,10,Irreproducible,
48644035,YES,2,0,2018-02-06 13:19,9,Without Modification,
48676719,NO,4,-1,2018-02-08 2:49,6,Minor Modification,
48996240,YES,3,1,2018-02-26 20:04,27,Without Modification,
49014099,NO,0,1,2018-02-27 17:02,10,Inaccurate Claim,
49016088,NO,2,0,2018-02-27 18:59,6,Ill-Defined Issue,
49092951,YES,1,2,2018-03-04 7:15,37,Without Modification,
49206448,YES,1,-1,2018-03-10 7:21,17,Without Modification,
49271333,NO,3,1,2018-03-14 6:50,3,Inaccurate Claim,
49276278,YES,1,0,2018-03-14 11:13,25,Without Modification,
49389841,NO,1,1,2018-03-20 16:45,29,Without Modification,
49401048,YES,1,0,2018-03-21 8:06,21,Without Modification,
49408627,YES,1,-1,2018-03-21 14:10,23,Minor Modification,
49664085,YES,7,5,2018-04-05 4:16,14,Without Modification,
49850186,NO,2,0,4-16-2018 5:32,48,Irreproducible,
50246361,NO,1,0,2018-05-09 5:52,60,Minor Modification,
50292004,NO,2,1,2018-05-11 12:05,12,Minor Modification,
50382008,YES,2,-3,2018-05-17 1:18,9,Without Modification,
50504315,YES,2,0,2018-05-24 8:17,2,Without Modification,
50598752,YES,1,-2,2018-05-30 7:26,13,Ill-Defined Issue,
50607465,NO,3,4,2018-05-30 14:39,10,Without Modification,
50791158,NO,0,0,6-11-2018 5:49,6,Irreproducible,
50835812,YES,1,0,2018-06-13 11:13,35,Minor Modification,
50881996,YES,1,0,2018-06-15 20:03,15,Ill-Defined Issue,
51272203,NO,1,1,2018-07-10 18:49,15,Without Modification,
51357570,YES,4,-5,2018-07-16 8:28,3,Without Modification,
51441102,YES,3,0,2018-07-20 11:03,11,Without Modification,
51509435,YES,1,1,2018-07-25 0:52,37,Without Modification,
51558164,YES,1,0,2018-07-27 12:41,17,Without Modification,
51577270,YES,3,2,2018-07-29 4:40,10,Without Modification,
51796037,YES,3,2,2018-08-11 2:47,21,Without Modification,
51796899,NO,1,0,8-11-2018 5:54,4,Irreproducible,
51940423,YES,1,2,2018-08-21 1:29,23,Without Modification,
51958209,YES,1,0,2018-08-22 0:01,4,Without Modification,
52058027,NO,0,2,8-28-2018 12:33,22,Irreproducible,
52217289,NO,1,0,9-7-2018 7:18,9,Irreproducible,
52302021,NO,0,0,2018-09-12 19:21,4,Without Modification,
52384142,YES,2,-1,2018-09-18 10:08,12,Without Modification,
52389614,NO,1,-1,2018-09-18 15:06,31,Without Modification,
52456483,NO,3,0,2018-09-22 11:58,8,Without Modification,
52462402,YES,2,1,2018-09-23 2:14,55,Major Modification,
52479078,YES,1,-1,2018-09-24 12:07,16,Minor Modification,
52596896,NO,1,-1,2018-10-01 18:31,20,Without Modification,
52639027,NO,1,1,2018-10-04 4:29,8,Minor Modification,
52682903,YES,1,0,2018-10-06 20:05,18,Major Modification,
52789193,NO,6,-1,2018-10-13 3:15,18,Without Modification,
52969518,NO,1,0,2018-10-24 12:52,11,Minor Modification,
52982661,YES,2,2,2018-10-25 6:26,7,Without Modification,
53088843,NO,1,1,2018-10-31 17:15,11,Without Modification,
53216271,YES,3,1,2018-11-08 21:18,4,Inaccurate Claim,
53217128,NO,3,3,2018-11-08 22:30,21,Major Modification,
53298661,NO,1,0,11-14-2018 11:01,4,Irreproducible,
53316909,YES,1,1,11-15-2018 10:05,17,Irreproducible,
53369885,YES,3,4,2018-11-19 7:14,5,Without Modification,
53402898,NO,2,-2,2018-11-20 23:01,7,Minor Modification,
53762500,NO,1,-2,12-13-2018 13:02,17,Irreproducible,
53869026,NO,0,0,12-20-2018 12:46,30,Irreproducible,
54042903,NO,1,-1,2019-01-04 16:39,11,Minor Modification,
54119533,YES,4,0,2019-01-09 22:49,18,Without Modification,
54123179,NO,2,-3,2019-01-10 6:43,8,Without Modification,
54261690,NO,1,0,1-18-2019 21:31,9,Irreproducible,
54372495,YES,2,0,2019-01-25 20:44,10,Without Modification,
54373281,YES,1,0,2019-01-25 21:52,27,Without Modification,
54454717,NO,1,-3,2019-01-31 6:39,11,Inaccurate Claim,
54485024,NO,4,-2,2019-02-01 18:15,18,Minor Modification,
54810516,NO,2,-2,2-21-2019 15:21,5,Irreproducible,
54985544,YES,1,1,2019-03-04 14:42,159,Without Modification,
55055578,NO,0,1,3-8-2019 1:46,74,Irreproducible,
55137432,YES,1,2,2019-03-13 8:35,15,Without Modification,
55147295,YES,1,-2,2019-03-13 16:52,10,Minor Modification,
55615018,YES,1,-1,2019-04-10 14:25,8,Without Modification,
55648278,NO,1,1,2019-04-12 9:14,5,Without Modification,
55735794,YES,1,0,2019-04-17 20:52,3,Without Modification,
55779352,NO,2,1,2019-04-21 2:18,11,Minor Modification,
55786614,NO,1,-2,2019-04-21 20:45,61,Without Modification,
55813059,YES,1,0,2019-04-23 14:03,1,Minor Modification,
55847871,YES,1,0,4-25-2019 11:06,2,Irreproducible,
55962624,NO,1,0,2019-05-03 2:39,17,Minor Modification,
55988049,NO,1,0,5-5-2019 1:03,82,Irreproducible,
56093426,NO,1,-2,2019-05-11 19:03,13,Without Modification,
56102710,YES,1,-4,2019-05-12 19:26,11,Without Modification,
56113666,NO,1,0,2019-05-13 13:42,6,Without Modification,
56176793,YES,3,1,2019-05-16 21:24,20,Without Modification,
56279191,NO,1,-1,2019-05-23 16:09,7,Without Modification,
56284888,YES,3,0,2019-05-24 1:49,6,Without Modification,
56325762,YES,3,0,2019-05-27 12:07,10,Minor Modification,
56369483,YES,1,0,2019-05-29 22:48,12,Without Modification,
56633794,YES,3,0,2019-06-17 14:51,10,Minor Modification,
56695714,NO,0,0,6-21-2019 1:19,7,Irreproducible,
56720750,NO,2,-2,2019-06-23 3:20,8,Without Modification,
56745087,NO,1,0,2019-06-24 23:29,22,Without Modification,
56791949,NO,2,0,2019-06-27 13:18,28,Without Modification,
56877258,NO,0,0,7-3-2019 20:07,36,Irreproducible,
57024144,YES,1,2,2019-07-14 2:31,10,Without Modification,
57075536,NO,0,0,7-17-2019 12:11,63,Irreproducible,
57139379,NO,1,0,2019-07-22 4:54,34,Without Modification,
57149414,NO,2,0,2019-07-22 15:38,22,Without Modification,
57198271,YES,2,1,2019-07-25 9:10,13,Without Modification,
57263742,YES,4,-2,2019-07-30 2:59,12,Without Modification,
57346167,NO,0,0,8-4-2019 11:30,17,Irreproducible,
57346716,NO,1,-1,2019-08-04 12:52,23,Without Modification,
57396100,NO,2,0,2019-08-07 13:55,30,Without Modification,
57504434,NO,1,0,2019-08-15 3:11,16,Minor Modification,
57504434,NO,1,0,2019-08-15 3:11,16,Without Modification,
57533644,NO,1,-1,2019-08-17 5:49,3,Without Modification,
57617252,NO,1,0,2019-08-22 21:26,31,Without Modification,
57704303,NO,1,1,2019-08-29 6:34,26,Without Modification,
57769776,YES,1,1,2019-09-03 10:25,25,Without Modification,
57836258,NO,1,-2,2019-09-07 18:03,6,Without Modification,
58054499,YES,2,0,2019-09-23 0:49,29,Without Modification,
58160670,NO,1,0,2019-09-30 1:59,37,Minor Modification,
58178562,NO,2,1,10-1-2019 5:30,1,Irreproducible,
58256485,NO,1,0,10-6-2019 10:44,20,Irreproducible,
58406120,NO,2,-1,2019-10-16 5:11,6,Without Modification,
58551545,YES,2,-2,2019-10-25 2:49,16,Without Modification,
58582156,NO,1,0,2019-10-27 18:28,15,Without Modification,
58595654,YES,2,1,2019-10-28 17:26,18,Inaccurate Claim,
58603143,NO,0,0,10-29-2019 7:43,12,Irreproducible,
58719864,YES,2,0,2019-11-05 21:39,57,Without Modification,
58738166,YES,1,0,2019-11-06 20:39,41,Without Modification,
58767830,YES,5,1,2019-11-08 13:49,20,Minor Modification,
58776867,NO,0,0,11-9-2019 6:09,3,Irreproducible,
58864353,NO,1,0,11-14-2019 19:24,29,Irreproducible,
58883037,NO,0,0,11-15-2019 18:51,10,Irreproducible,
58907341,NO,2,0,2019-11-18 2:42,31,Without Modification,
58986604,NO,0,0,11-22-2019 2:28,23,Irreproducible,
59005237,YES,1,1,2019-11-23 6:43,43,Without Modification,
59286552,YES,1,0,2019-12-11 13:08,19,Minor Modification,
59300213,NO,1,1,2019-12-12 8:13,12,Without Modification,
59340189,NO,1,0,12-15-2019 0:00,5,Irreproducible,
59516413,NO,2,0,2019-12-29 2:21,5,Ill-Defined Issue,
